,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,year,month,Unnamed: 21,친환경
17,휘발유,소계,계,1593411.0,643784.0,554256.0,697353.0,289057.0,321350.0,277183.0,70693.0,2620537.0,319978.0,346053.0,463136.0,363603.0,377238.0,602599.0,786328.0,218439.0,10544998.0,2018,08,,비친환경
34,경유,소계,계,1146526.0,550768.0,468440.0,675355.0,268206.0,259081.0,226021.0,57116.0,2361313.0,363944.0,373707.0,512586.0,434564.0,515122.0,653442.0,729111.0,233269.0,9828571.0,2018,08,,비친환경
51,엘피지,소계,계,290234.0,124114.0,119415.0,140012.0,86818.0,71562.0,39294.0,11037.0,420649.0,62769.0,69779.0,87036.0,95029.0,105700.0,130107.0,142008.0,64160.0,2059723.0,2018,08,,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,08,,비친환경
85,전기,소계,계,7480.0,1199.0,4509.0,1147.0,1055.0,885.0,581.0,249.0,4909.0,902.0,673.0,782.0,662.0,1635.0,1497.0,1742.0,12630.0,42537.0,2018,08,,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,08,,비친환경
119,태양열,소계,계,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,08,,비친환경
136,CNG,소계,계,9663.0,3138.0,2669.0,2826.0,1463.0,1712.0,823.0,95.0,9241.0,888.0,727.0,603.0,1092.0,1094.0,1215.0,1801.0,15.0,39065.0,2018,08,,비친환경
153,LNG,소계,계,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2018,08,,비친환경
170,하이브리드(휘발유+전기),소계,계,66620.0,20031.0,18358.0,24887.0,9317.0,9070.0,7207.0,3415.0,97100.0,9710.0,9624.0,12776.0,10194.0,10305.0,15082.0,19683.0,7687.0,351066.0,2018,08,,친환경
187,하이브리드(경유+전기),소계,계,27.0,14.0,17.0,8.0,2.0,4.0,0.0,3.0,28.0,0.0,4.0,2.0,2.0,1.0,1.0,14.0,0.0,127.0,2018,08,,친환경
204,하이브리드(LPG+전기),소계,계,1990.0,886.0,1043.0,888.0,729.0,587.0,564.0,190.0,4118.0,745.0,716.0,808.0,847.0,931.0,1109.0,1123.0,323.0,17597.0,2018,08,,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,34.0,20.0,0.0,46.0,27.0,69.0,0.0,3.0,0.0,9.0,0.0,12.0,1.0,0.0,287.0,2018,08,,친환경
238,하이브리드(LNG+전기),소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,08,,친환경
255,수소,소계,계,35.0,0.0,2.0,3.0,91.0,1.0,166.0,3.0,5.0,0.0,0.0,33.0,1.0,2.0,0.0,80.0,0.0,422.0,2018,08,,친환경
272,기타연료,소계,계,5494.0,14701.0,3080.0,10991.0,2793.0,2641.0,4424.0,522.0,19654.0,2661.0,4505.0,6466.0,3816.0,7924.0,8134.0,6802.0,647.0,105255.0,2018,08,,비친환경
289,총계,소계,계,3121532.0,1358638.0,1171803.0,1553504.0,659551.0,666895.0,556309.0,143350.0,5537623.0,761597.0,805791.0,1084228.0,909819.0,1019952.0,1413199.0,1688694.0,537170.0,22989655.0,2018,08,,비친환경
17,휘발유,소계,계,1594017.0,644865.0,554546.0,702067.0,289439.0,321574.0,277337.0,71344.0,2628469.0,320587.0,346835.0,464003.0,364105.0,378123.0,603228.0,786285.0,219888.0,10566712.0,2018,09,,비친환경
34,경유,소계,계,1147831.0,552030.0,469829.0,676075.0,268930.0,259858.0,226402.0,57532.0,2369573.0,365019.0,374794.0,514055.0,435608.0,516843.0,655100.0,729690.0,235076.0,9854245.0,2018,09,,비친환경
51,엘피지,소계,계,289155.0,123818.0,119101.0,139074.0,86772.0,71423.0,39208.0,11100.0,420186.0,62642.0,69672.0,86889.0,94838.0,105630.0,129938.0,141746.0,64231.0,2055423.0,2018,09,,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,09,,비친환경
85,전기,소계,계,8105.0,1288.0,4907.0,1183.0,1134.0,1031.0,639.0,367.0,5235.0,1000.0,698.0,833.0,804.0,1768.0,1648.0,1762.0,13636.0,46038.0,2018,09,,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,09,,비친환경
119,태양열,소계,계,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,09,,비친환경
136,CNG,소계,계,9663.0,3139.0,2663.0,2826.0,1461.0,1714.0,824.0,97.0,9247.0,881.0,726.0,606.0,1094.0,1092.0,1212.0,1799.0,14.0,39058.0,2018,09,,비친환경
153,LNG,소계,계,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2018,09,,비친환경
170,하이브리드(휘발유+전기),소계,계,67520.0,20301.0,18637.0,25382.0,9432.0,9248.0,7299.0,3489.0,98838.0,9855.0,9813.0,12949.0,10357.0,10453.0,15334.0,19890.0,7877.0,356674.0,2018,09,,친환경
187,하이브리드(경유+전기),소계,계,28.0,14.0,17.0,8.0,3.0,4.0,0.0,1.0,27.0,0.0,3.0,2.0,2.0,1.0,1.0,14.0,0.0,125.0,2018,09,,친환경
204,하이브리드(LPG+전기),소계,계,1975.0,890.0,1041.0,866.0,727.0,583.0,561.0,190.0,4122.0,747.0,719.0,814.0,850.0,926.0,1113.0,1123.0,322.0,17569.0,2018,09,,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,34.0,22.0,0.0,46.0,27.0,75.0,0.0,3.0,0.0,9.0,0.0,15.0,1.0,0.0,298.0,2018,09,,친환경
238,하이브리드(LNG+전기),소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,09,,친환경
255,수소,소계,계,35.0,0.0,2.0,3.0,91.0,1.0,205.0,3.0,5.0,0.0,0.0,38.0,1.0,2.0,0.0,80.0,0.0,466.0,2018,09,,친환경
272,기타연료,소계,계,5543.0,14716.0,3097.0,11049.0,2826.0,2651.0,4427.0,528.0,19844.0,2684.0,4563.0,6505.0,3860.0,7980.0,8176.0,6866.0,648.0,105963.0,2018,09,,비친환경
289,총계,소계,계,3123924.0,1361064.0,1173853.0,1558567.0,660837.0,668089.0,556948.0,144678.0,5555622.0,763415.0,807826.0,1086694.0,911528.0,1022818.0,1415766.0,1689257.0,541692.0,23042578.0,2018,09,,비친환경
17,휘발유,소계,계,1593813.0,646233.0,554807.0,706350.0,289905.0,321903.0,277210.0,72041.0,2637401.0,321104.0,347907.0,465130.0,364808.0,378450.0,603796.0,786950.0,220828.0,10588636.0,2018,10,,비친환경
34,경유,소계,계,1147408.0,552960.0,469742.0,677455.0,269674.0,260007.0,226843.0,57958.0,2378312.0,365627.0,375600.0,515062.0,436077.0,517875.0,656366.0,730544.0,236639.0,9874149.0,2018,10,,비친환경
51,엘피지,소계,계,287623.0,123467.0,118488.0,138530.0,86692.0,71154.0,39012.0,11181.0,418748.0,62289.0,69504.0,86583.0,94610.0,105605.0,129622.0,141248.0,64497.0,2048853.0,2018,10,,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,10,,비친환경
85,전기,소계,계,8619.0,1466.0,5180.0,1218.0,1293.0,1174.0,682.0,383.0,5676.0,1138.0,1133.0,969.0,877.0,1859.0,1838.0,2003.0,14317.0,49825.0,2018,10,,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,10,,비친환경
119,태양열,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,10,,비친환경
